序号,市级指导部门,实施清单名称,,实施编码,事项类型,备注
369,东莞市水务局,对评标委员会成员收受投标人的财物或者其他好处行为的处罚,"《中华人民共和国招标投标法实施条例》第四十九条 评标委员会成员应当依照招标投标法和本条例的规定，按照招标文件规定的评标标准和方法，客观、公正地对投标文件提出评审意见。招标文件没有规定的评标标准和方法不得作为评标的依据。
评标委员会成员不得私下接触投标人，不得收受投标人给予的财物或者其他好处，不得向招标人征询确定中标人的意向，不得接受任何单位或者个人明示或者暗示提出的倾向或者排斥特定投标人的要求，不得有其他不客观、不公正履行职务的行为。
《中华人民共和国招标投标法实施条例》第七十二条 评标委员会成员收受投标人的财物或者其他好处的，没收收受的财物，处3000元以上5万元以下的罚款，取消担任评标委员会成员的资格，不得再参加依法必须进行招标的项目的评标；构成犯罪的，依法追究刑事责任。",11441900007330248L3440216348000,行政处罚,
370,东莞市水务局,对依法必须进行招标的项目的招标人无正当理由不发出中标通知书行为的处罚,"《中华人民共和国招标投标法》第四十五条 中标人确定后，招标人应当向中标人发出中标通知书，并同时将中标结果通知所有未中标的投标人。
中标通知书对招标人和中标人具有法律效力。中标通知书发出后，招标人改变中标结果的，或者中标人放弃中标项目的，应当依法承担法律责任。
《中华人民共和国招标投标法实施条例》第七十三条 依法必须进行招标的项目的招标人有下列情形之一的，由有关行政监督部门责令改正，可以处中标项目金额10‰以下的罚款；给他人造成损失的，依法承担赔偿责任；对单位直接负责的主管人员和其他直接责任人员依法给予处分：
（一）无正当理由不发出中标通知书；
（二）不按照规定确定中标人；
（三）中标通知书发出后无正当理由改变中标结果；
（四）无正当理由不与中标人订立合同；
（五）在订立合同时向中标人提出附加条件。",11441900007330248L3440216349000,行政处罚,
371,东莞市水务局,对依法必须进行招标的项目的招标人不按照规定确定中标人行为的处罚,"《中华人民共和国招标投标法》第四十条 评标委员会应当按照招标文件确定的评标标准和方法，对投标文件进行评审和比较；设有标底的，应当参考标底。评标委员会完成评标后，应当向招标人提出书面评标报告，并推荐合格的中标候选人。
招标人根据评标委员会提出的书面评标报告和推荐的中标候选人确定中标人。招标人也可以授权评标委员会直接确定中标人。
国务院对特定招标项目的评标有特别规定的，从其规定。
《中华人民共和国招标投标法实施条例》第七十三条 依法必须进行招标的项目的招标人有下列情形之一的，由有关行政监督部门责令改正，可以处中标项目金额10‰以下的罚款；给他人造成损失的，依法承担赔偿责任；对单位直接负责的主管人员和其他直接责任人员依法给予处分：
（一）无正当理由不发出中标通知书；
（二）不按照规定确定中标人；
（三）中标通知书发出后无正当理由改变中标结果；
（四）无正当理由不与中标人订立合同；
（五）在订立合同时向中标人提出附加条件。",11441900007330248L3440216350000,行政处罚,
372,东莞市水务局,对依法必须进行招标的项目的招标人中标通知书发出后无正当理由改变中标结果行为的处罚,"《中华人民共和国招标投标法》第四十五条 中标人确定后，招标人应当向中标人发出中标通知书，并同时将中标结果通知所有未中标的投标人。
中标通知书对招标人和中标人具有法律效力。中标通知书发出后，招标人改变中标结果的，或者中标人放弃中标项目的，应当依法承担法律责任。
《中华人民共和国招标投标法实施条例》第七十三条 依法必须进行招标的项目的招标人有下列情形之一的，由有关行政监督部门责令改正，可以处中标项目金额10‰以下的罚款；给他人造成损失的，依法承担赔偿责任；对单位直接负责的主管人员和其他直接责任人员依法给予处分：
（一）无正当理由不发出中标通知书；
（二）不按照规定确定中标人；
（三）中标通知书发出后无正当理由改变中标结果；
（四）无正当理由不与中标人订立合同；
（五）在订立合同时向中标人提出附加条件。",11441900007330248L3440216351000,行政处罚,
373,东莞市水务局,对依法必须进行招标的项目的招标人无正当理由不与中标人订立合同行为的处罚,"《中华人民共和国招标投标法》第四十六条 招标人和中标人应当自中标通知书发出之日起三十日内，按照招标文件和中标人的投标文件订立书面合同。招标人和中标人不得再行订立背离合同实质性内容的其他协议。
招标文件要求中标人提交履约保证金的，中标人应当提交。
《中华人民共和国招标投标法实施条例》第七十三条 依法必须进行招标的项目的招标人有下列情形之一的，由有关行政监督部门责令改正，可以处中标项目金额10‰以下的罚款；给他人造成损失的，依法承担赔偿责任；对单位直接负责的主管人员和其他直接责任人员依法给予处分：
（一）无正当理由不发出中标通知书；
（二）不按照规定确定中标人；
（三）中标通知书发出后无正当理由改变中标结果；
（四）无正当理由不与中标人订立合同；
（五）在订立合同时向中标人提出附加条件。",11441900007330248L3440216352000,行政处罚,
374,东莞市水务局,对依法必须进行招标的项目的招标人在订立合同时向中标人提出附加条件行为的处罚,"《中华人民共和国招标投标法》第四十六条 招标人和中标人应当自中标通知书发出之日起三十日内，按照招标文件和中标人的投标文件订立书面合同。招标人和中标人不得再行订立背离合同实质性内容的其他协议。
招标文件要求中标人提交履约保证金的，中标人应当提交。
《中华人民共和国招标投标法实施条例》第七十三条 依法必须进行招标的项目的招标人有下列情形之一的，由有关行政监督部门责令改正，可以处中标项目金额10‰以下的罚款；给他人造成损失的，依法承担赔偿责任；对单位直接负责的主管人员和其他直接责任人员依法给予处分：
（一）无正当理由不发出中标通知书；
（二）不按照规定确定中标人；
（三）中标通知书发出后无正当理由改变中标结果；
（四）无正当理由不与中标人订立合同；
（五）在订立合同时向中标人提出附加条件。",11441900007330248L3440216353000,行政处罚,
375,东莞市水务局,对依法必须进行招标的项目的中标人无正当理由不与招标人订立合同，在签订合同时向招标人提出附加条件，或者不按照招标文件要求提交履约保证金行为的处罚,"《中华人民共和国招标投标法实施条例》第五十七条 招标人和中标人应当依照招标投标法和本条例的规定签订书面合同，合同的标的、价款、质量、履行期限等主要条款应当与招标文件和中标人的投标文件的内容一致。招标人和中标人不得再行订立背离合同实质性内容的其他协议。
招标人最迟应当在书面合同签订后5日内向中标人和未中标的投标人退还投标保证金及银行同期存款利息。
《中华人民共和国招标投标法实施条例》第五十八条 招标文件要求中标人提交履约保证金的，中标人应当按照招标文件的要求提交。履约保证金不得超过中标合同金额的10%。
《中华人民共和国招标投标法实施条例》第七十四条 中标人无正当理由不与招标人订立合同，在签订合同时向招标人提出附加条件，或者不按照招标文件要求提交履约保证金的，取消其中标资格，投标保证金不予退还。对依法必须进行招标的项目的中标人，由有关行政监督部门责令改正，可以处中标项目金额10‰以下的罚款。",11441900007330248L3440216354000,行政处罚,
376,东莞市水务局,对招标人和中标人不按照招标文件和中标人的投标文件订立合同，合同的主要条款与招标文件、中标人的投标文件的内容不一致，或者招标人、中标人订立背离合同实质性内容的协议行为的处罚,"《中华人民共和国招标投标法实施条例》第五十七条 招标人和中标人应当依照招标投标法和本条例的规定签订书面合同，合同的标的、价款、质量、履行期限等主要条款应当与招标文件和中标人的投标文件的内容一致。招标人和中标人不得再行订立背离合同实质性内容的其他协议。
招标人最迟应当在书面合同签订后5日内向中标人和未中标的投标人退还投标保证金及银行同期存款利息。
《中华人民共和国招标投标法实施条例》第七十五条 招标人和中标人不按照招标文件和中标人的投标文件订立合同，合同的主要条款与招标文件、中标人的投标文件的内容不一致，或者招标人、中标人订立背离合同实质性内容的协议的，由有关行政监督部门责令改正，可以处中标项目金额5‰以上10‰以下的罚款。",11441900007330248L3440216355000,行政处罚,
377,东莞市水务局,对中标人将中标项目转让给他人的，将中标项目肢解后分别转让给他人的，违反招标投标法和本条例规定将中标项目的部分主体、关键性工作分包给他人的，或者分包人再次分包的行为的处罚,"《中华人民共和国招标投标法实施条例》第五十九条 中标人应当按照合同约定履行义务，完成中标项目。中标人不得向他人转让中标项目，也不得将中标项目肢解后分别向他人转让。
中标人按照合同约定或者经招标人同意，可以将中标项目的部分非主体、非关键性工作分包给他人完成。接受分包的人应当具备相应的资格条件，并不得再次分包。
中标人应当就分包项目向招标人负责，接受分包的人就分包项目承担连带责任。
《中华人民共和国招标投标法实施条例》第七十六条 中标人将中标项目转让给他人的，将中标项目肢解后分别转让给他人的，违反招标投标法和本条例规定将中标项目的部分主体、关键性工作分包给他人的，或者分包人再次分包的，转让、分包无效，处转让、分包项目金额5‰以上10‰以下的罚款；有违法所得的，并处没收违法所得；可以责令停业整顿；情节严重的，由工商行政管理机关吊销营业执照。",11441900007330248L3440216356000,行政处罚,
378,东莞市水务局,对以联合体形式投标的，联合体成员又以自己名义单独投标，或者参加其他联合体投同一个标行为的处罚,"《中华人民共和国招标投标法实施条例》第三十七条 招标人应当在资格预审公告、招标公告或者投标邀请书中载明是否接受联合体投标。
招标人接受联合体投标并进行资格预审的，联合体应当在提交资格预审申请文件前组成。资格预审后联合体增减、更换成员的，其投标无效。
联合体各方在同一招标项目中以自己名义单独投标或者参加其他联合体投标的，相关投标均无效。",11441900007330248L3440216357000,行政处罚,
379,东莞市水务局,对招标人或者招标代理机构不符合规定条件或虽符合条件而未经批准，擅自进行邀请招标或不招标行为的处罚,"中华人民共和国政府采购法（2014年修正）第二十六条
政府采购采用以下方式：
（一）公开招标；
（二）邀请招标；
（三）竞争性谈判；
（四）单一来源采购；
（五）询价；
（六）国务院政府采购监督管理部门认定的其他采购方式。
公开招标应作为政府采购的主要采购方式。
第二十九条
符合下列情形之一的货物或者服务，可以依照本法采用邀请招标方式采购：
（一）具有特殊性，只能从有限范围的供应商处采购的；
（二）采用公开招标方式的费用占政府采购项目总价值的比例过大的。
第三十四条
货物或者服务项目采取邀请招标方式采购的，采购人应当从符合相应资格条件的供应商中，通过随机方式选择三家以上的供应商，并向其发出投标邀请书。
政府采购货物和服务招标投标管理办法（2017修订）
",11441900007330248L3440216358000,行政处罚,
380,东莞市水务局,对招标人或者招标代理不按项目审批部门核准内容进行招标行为的处罚,广东省实施《中华人民共和国招标投标法》办法 、中华人民共和国招标投标法实施条例（2018年修正本）,11441900007330248L3440216359000,行政处罚,
381,东莞市水务局,对招标人或者招标代理机构不具备招标条件而进行招标行为的处罚,广东省实施《中华人民共和国招标投标法》办法 、中华人民共和国招标投标法实施条例（2018年修正本）,11441900007330248L3440216360000,行政处罚,
382,东莞市水务局,对招标人或者招标代理机构非因不可抗力原因，在发布招标公告、发出投标邀请书或者发售资格预审文件或招标文件后终止招标行为的处罚,"《工程建设项目施工招标投标办法》第十五条 招标人应当按招标公告或者投标邀请书规定的时间、地点出售招标文件或资格预审文件。自招标文件或者资格预审文件出售之日起至停止出售之日止，最短不得少于五日。
招标人可以通过信息网络或者其他媒介发布招标文件，通过信息网络或者其他媒介发布的招标文件与书面招标文件具有同等法律效力，出现不一致时以书面招标文件为准，国家另有规定的除外。
对招标文件或者资格预审文件的收费应当限于补偿印刷、邮寄的成本支出，不得以营利为目的。对于所附的设计文件，招标人可以向投标人酌收押金；对于开标后投标人退还设计文件的，招标人应当向投标人退还押金。
招标文件或者资格预审文件售出后，不予退还。除不可抗力原因外，招标人在发布招标公告、发出投标邀请书后或者售出招标文件或资格预审文件后不得终止招标。
《工程建设项目施工招标投标办法》第七十二条 招标人在发布招标公告、发出投标邀请书或者售出招标文件或资格预审文件后终止招标的，应当及时退还所收取的资格预审文件、招标文件的费用，以及所收取的投标保证金及银行同期存款利息。给潜在投标人或者投标人造成损失的，应当赔偿损失。",11441900007330248L3440216361000,行政处罚,
383,东莞市水务局,对招标人或者招标代理机构对投标人数量不符合法定要求不重新招标行为的处罚,广东省实施《中华人民共和国招标投标法》办法 、中华人民共和国招标投标法实施条例（2018年修正本）,11441900007330248L3440216362000,行政处罚,
384,东莞市水务局,对招标人或者招标代理机构未在指定的媒介发布招标公告行为的处罚,"《工程建设项目施工招标投标办法》第十三条 采用公开招标方式的，招标人应当发布招标公告，邀请不特定的法人或者其他组织投标。依法必须进行施工招标项目的招标公告，应当在国家指定的报刊和信息网络上发布。
采用邀请招标方式的，招标人应当向三家以上具备承担施工招标项目的能力、资信良好的特定的法人或者其他组织发出投标邀请书。
《工程建设项目施工招标投标办法》第七十三条 招标人有下列限制或者排斥潜在投标人行为之一的，由有关行政监督部门依照招标投标法第五十一条的规定处罚；其中，构成依法必须进行施工招标的项目的招标人规避招标的，依照招标投标法第四十九条的规定处罚：
（一）依法应当公开招标的项目不按照规定在指定媒介发布资格预审公告或者招标公告；
（二）在不同媒介发布的同一招标项目的资格预审公告或者招标公告的内容不一致，影响潜在投标人申请资格预审或者投标。
招标人有下列情形之一的，由有关行政监督部门责令改正，可以处10万元以下的罚款：
（一）依法应当公开招标而采用邀请招标；
（二）招标文件、资格预审文件的发售、澄清、修改的时限，或者确定的提交资格预审申请文件、投标文件的时限不符合招标投标法和招标投标法实施条例规定；
（三）接受未通过资格预审的单位或者个人参加投标；
（四）接受应当拒收的投标文件。
招标人有前款第一项、第三项、第四项所列行为之一的，对单位直接负责的主管人员和其他直接责任人员依法给予处分。",11441900007330248L3440216363000,行政处罚,
385,东莞市水务局,对招标人或者招标代理机构的依法必须招标的货物，自招标文件开始发出之日起至提交投标文件截止之日止，少于二十日行为的处罚,"工程建设项目施工招标投标办法（2013修正）第三十一条
招标人应当确定投标人编制投标文件所需要的合理时间；但是，依法必须进行招标的项目，自招标文件开始发出之日起至投标人提交投标文件截止之日止，最短不得少于二十日。",11441900007330248L3440216364000,行政处罚,
386,东莞市水务局,对招标人在发布招标公告、发出投标邀请书或者售出招标文件或资格预审文件后终止招标且无正当理由行为的处罚,广东省实施《中华人民共和国招标投标法》办法 、中华人民共和国招标投标法实施条例（2018年修正本）、工程建设项目施工招标投标办法（2013修正）、水利工程建设项目招标投标管理规定（2001）,11441900007330248L3440216365000,行政处罚,
387,东莞市水务局,对招标人或者招标代理机构邀请招标不依法发出投标邀请书行为的处罚,"《公路工程建设项目招标投标管理办法》第十五条 资格预审申请人对资格预审审查结果有异议的，应当自收到资格预审结果通知书后3日内提出。招标人应当自收到异议之日起3日内作出答复；作出答复前，应当暂停招标投标活动。
招标人未收到异议或者收到异议并已作出答复的，应当及时向通过资格预审的申请人发出投标邀请书。未通过资格预审的申请人不具有投标资格。
《公路工程建设项目招标投标管理办法》第六十八条 招标人有下列情形之一的，由交通运输主管部门责令改正，可以处三万元以下的罚款：
（一）不满足本办法第八条规定的条件而进行招标的；
（二）不按照本办法规定将资格预审文件、招标文件和招标投标情况的书面报告备案的；
（三）邀请招标不依法发出投标邀请书的；
（四）不按照项目审批、核准部门确定的招标范围、招标方式、招标组织形式进行招标的；
（五）不按照本办法规定编制资格预审文件或者招标文件的；
（六）由于招标人原因导致资格审查报告存在重大偏差且影响资格预审结果的；
（七）挪用投标保证金，增设或者变相增设保证金的；
（八）投标人数量不符合法定要求不重新招标的；
（九）向评标委员会提供的评标信息不符合本办法规定的；
（十）不按照本办法规定公示中标候选人的；
（十一）招标文件中规定的履约保证金的金额、支付形式不符合本办法规定的。",11441900007330248L3440216366000,行政处罚,
388,东莞市水务局,对招标人或者招标代理机构的下列行为依法必须招标的项目，自招标文件开始发出之日起至提交投标文件截止之日止少于二十日行为的处罚,广东省实施《中华人民共和国招标投标法》办法 、中华人民共和国招标投标法实施条例（2018年修正本）、工程建设项目施工招标投标办法（2013修正）、水利工程建设项目招标投标管理规定（2001）,11441900007330248L3440216367000,行政处罚,
389,东莞市水务局,对招标人或者招标代理机构自招标文件或资格预审文件出售之日起至停止出售之日止，少于五个工作日行为的处罚,广东省实施《中华人民共和国招标投标法》办法 、中华人民共和国招标投标法实施条例（2018年修正本）、工程建设项目施工招标投标办法（2013修正）、水利工程建设项目招标投标管理规定（2001）,11441900007330248L3440216368000,行政处罚,
390,东莞市水务局,对使用招标文件没有确定的评标标准和方法行为的处罚,"《评标委员会和评标方法暂行规定》第十七条 评标委员会应当根据招标文件规定的评标标准和方法，对投标文件进行系统地评审和比较。招标文件中没有规定的标准和方法不得作为评标的依据。
招标文件中规定的评标标准和评标方法应当合理，不得含有倾向或者排斥潜在投标人的内容，不得妨碍或者限制投标人之间的竞争。
《评标委员会和评标方法暂行规定》第二十八条 经初步评审合格的投标文件，评标委员会应当根据招标文件确定的评标标准和方法，对其技术部分和商务部分作进一步评审、比较。
《评标委员会和评标方法暂行规定》第五十三条 评标委员会成员有下列行为之一的，由有关行政监督部门责令改正；情节严重的，禁止其在一定期限内参加依法必须进行招标的项目的评标；情节特别严重的，取消其担任评标委员会成员的资格：
（一）应当回避而不回避；
（二）擅离职守；
（三）不按照招标文件规定的评标标准和方法评标；
（四）私下接触投标人；
（五）向招标人征询确定中标人的意向或者接受任何单位或者个人明示或者暗示提出的倾向或者排斥特定投标人的要求；
（六）对依法应当否决的投标不提出否决意见；
（七）暗示或者诱导投标人作出澄清、说明或者接受投标人主动提出的澄清、说明；
（八）其他不客观、不公正履行职务的行为。",11441900007330248L3440216369000,行政处罚,
391,东莞市水务局,对评标标准和方法含有倾向或者排斥投标人的内容，妨碍或者限制投标人之间竞争，且影响评标结果行为的处罚,"《评标委员会和评标方法暂行规定》第十三条 评标委员会成员应当客观、公正地履行职责，遵守职业道德，对所提出的评审意见承担个人责任。
评标委员会成员不得与任何投标人或者与招标结果有利害关系的人进行私下接触，不得收受投标人、中介人、其他利害关系人的财物或者其他好处，不得向招标人征询其确定中标人的意向，不得接受任何单位或者个人明示或者暗示提出的倾向或者排斥特定投标人的要求，不得有其他不客观、不公正履行职务的行为。
《评标委员会和评标方法暂行规定》第五十三条 评标委员会成员有下列行为之一的，由有关行政监督部门责令改正；情节严重的，禁止其在一定期限内参加依法必须进行招标的项目的评标；情节特别严重的，取消其担任评标委员会成员的资格：
（一）应当回避而不回避；
（二）擅离职守；
（三）不按照招标文件规定的评标标准和方法评标；
（四）私下接触投标人；
（五）向招标人征询确定中标人的意向或者接受任何单位或者个人明示或者暗示提出的倾向或者排斥特定投标人的要求；
（六）对依法应当否决的投标不提出否决意见；
（七）暗示或者诱导投标人作出澄清、说明或者接受投标人主动提出的澄清、说明；
（八）其他不客观、不公正履行职务的行为。",11441900007330248L3440216370000,行政处罚,
392,东莞市水务局,对应当回避担任评标委员会成员的人参与评标行为的处罚,"《评标委员会和评标方法暂行规定》第十二条 有下列情形之一的，不得担任评标委员会成员：
（一）投标人或者投标人主要负责人的近亲属；
（二）项目主管部门或者行政监督部门的人员；
（三）与投标人有经济利益关系，可能影响对投标公正评审的；
（四）曾因在招标、评标以及其他与招标投标有关活动中从事违法行为而受过行政处罚或刑事处罚的。
评标委员会成员有前款规定情形之一的，应当主动提出回避。
《评标委员会和评标方法暂行规定》第五十三条 评标委员会成员有下列行为之一的，由有关行政监督部门责令改正；情节严重的，禁止其在一定期限内参加依法必须进行招标的项目的评标；情节特别严重的，取消其担任评标委员会成员的资格：
（一）应当回避而不回避；
（二）擅离职守；
（三）不按照招标文件规定的评标标准和方法评标；
（四）私下接触投标人；
（五）向招标人征询确定中标人的意向或者接受任何单位或者个人明示或者暗示提出的倾向或者排斥特定投标人的要求；
（六）对依法应当否决的投标不提出否决意见；
（七）暗示或者诱导投标人作出澄清、说明或者接受投标人主动提出的澄清、说明；
（八）其他不客观、不公正履行职务的行为。",11441900007330248L3440216371000,行政处罚,
393,东莞市水务局,对评标委员会的组建及人员组成不符合法定要求行为的处罚,,11441900007330248L3440216372000,行政处罚,
394,东莞市水务局,对评标委员会及其成员在评标过程中有违法违规、显失公正行为行为的处罚,"《评标委员会和评标方法暂行规定》第十三条  评标委员会成员应当客观、公正地履行职责，遵守职业道德，对所提出的评审意见承担个人责任。
评标委员会成员不得与任何投标人或者与招标结果有利害关系的人进行私下接触，不得收受投标人、中介人、其他利害关系人的财物或者其他好处，不得向招标人征询其确定中标人的意向，不得接受任何单位或者个人明示或者暗示提出的倾向或者排斥特定投标人的要求，不得有其他不客观、不公正履行职务的行为。
《中华人民共和国招标投标法实施条例》第四十九条  评标委员会成员应当依照招标投标法和本条例的规定，按照招标文件规定的评标标准和方法，客观、公正地对投标文件提出评审意见。招标文件没有规定的评标标准和方法不得作为评标的依据。
评标委员会成员不得私下接触投标人，不得收受投标人给予的财物或者其他好处，不得向招标人征询确定中标人的意向，不得接受任何单位或者个人明示或者暗示提出的倾向或者排斥特定投标人的要求，不得有其他不客观、不公正履行职务的行为。
《评标委员会和评标方法暂行规定》第五十三条 评标委员会成员有下列行为之一的，由有关行政监督部门责令改正；情节严重的，禁止其在一定期限内参加依法必须进行招标的项目的评标；情节特别严重的，取消其担任评标委员会成员的资格：（一）应当回避而不回避；（二）擅离职守；（三）不按照招标文件规定的评标标准和方法评标；（四）私下接触投标人；（五）向招标人征询确定中标人的意向或者接受任何单位或者个人明示或者暗示提出的倾向或者排斥特定投标人的要求；（六）对依法应当否决的投标不提出否决意见；（七）暗示或者诱导投标人作出澄清、说明或者接受投标人主动提出的澄清、说明；（八）其他不客观、不公正履行职务的行为。
《评标委员会和评标方法暂行规定》第五十四条  评标委员会成员收受投标人的财物或者其他好处的，评标委员会成员或者与评标活动有关的工作人员向他人透露对投标文件的评审和比较、中标候选人的推荐以及与评标有关的其他情况的，给予警告，没收收受的财物，可以并处三千元以上五万元以下的罚款；对有所列违法行为的评标委员会成员取消担任评标委员会成员的资格，不得再参加任何依法必须进行招标项目的评标；构成犯罪的，依法追究刑事责任。
《中华人民共和国招标投标法实施条例》第七十一条  评标委员会成员有下列行为之一的，由有关行政监督部门责令改正；情节严重的，禁止其在一定期限内参加依法必须进行招标的项目的评标；情节特别严重的，取消其担任评标委员会成员的资格：
（一）应当回避而不回避；
（二）擅离职守；
（三）不按照招标文件规定的评标标准和方法评标；
（四）私下接触投标人；
（五）向招标人征询确定中标人的意向或者接受任何单位或者个人明示或者暗示提出的倾向或者排斥特定投标人的要求；
（六）对依法应当否决的投标不提出否决意见；
（七）暗示或者诱导投标人作出澄清、说明或者接受投标人主动提出的澄清、说明；
（八）其他不客观、不公正履行职务的行为。
《中华人民共和国招标投标法实施条例》第七十二条  评标委员会成员收受投标人的财物或者其他好处的，没收收受的财物，处3000元以上5万元以下的罚款，取消担任评标委员会成员的资格，不得再参加依法必须进行招标的项目的评标；构成犯罪的，依法追究刑事责任。",11441900007330248L3440216373000,行政处罚,
395,东莞市水务局,对招标人不按规定期限确定中标人的，或者中标通知书发出后，改变中标结果的，无正当理由不与中标人签订合同的，或者在签订合同时向中标人提出附加条件或者更改合同实质性内容行为的处罚,《评标委员会和评标方法暂行规定》第五十五条  招标人有下列情形之一的，责令改正，可以处中标项目金额千分之十以下的罚款；给他人造成损失的，依法承担赔偿责任；对单位直接负责的主管人员和其他直接责任人员依法给予处分：（一）无正当理由不发出中标通知书； （二）不按照规定确定中标人；（三）中标通知书发出后无正当理由改变中标结果；（四）无正当理由不与中标人订立合同；（五）在订立合同时向中标人提出附加条件。,11441900007330248L3440216374000,行政处罚,
396,东莞市水务局,对评标委员会成员在评标过程中擅离职守，影响评标程序正常进行，或者在评标过程中不能客观公正地履行职责行为的处罚,《评标委员会和评标方法暂行规定》第五十三条  评标委员会成员有下列行为之一的，由有关行政监督部门责令改正；情节严重的，禁止其在一定期限内参加依法必须进行招标的项目的评标；情节特别严重的，取消其担任评标委员会成员的资格：（一）应当回避而不回避；（二）擅离职守；（三）不按照招标文件规定的评标标准和方法评标；（四）私下接触投标人；（五）向招标人征询确定中标人的意向或者接受任何单位或者个人明示或者暗示提出的倾向或者排斥特定投标人的要求；（六）对依法应当否决的投标不提出否决意见；（七）暗示或者诱导投标人作出澄清、说明或者接受投标人主动提出的澄清、说明；（八）其他不客观、不公正履行职务的行为。,11441900007330248L3440216375000,行政处罚,
397,东莞市水务局,对招标人迟迟不确定中标人或者无正当理由不与中标人签订合同行为的处罚,《评标委员会和评标方法暂行规定》第五十五条  招标人有下列情形之一的，责令改正，可以处中标项目金额千分之十以下的罚款；给他人造成损失的，依法承担赔偿责任；对单位直接负责的主管人员和其他直接责任人员依法给予处分：（一）无正当理由不发出中标通知书； （二）不按照规定确定中标人；（三）中标通知书发出后无正当理由改变中标结果；（四）无正当理由不与中标人订立合同；（五）在订立合同时向中标人提出附加条件。,11441900007330248L3440216376000,行政处罚,
398,东莞市水务局,对评标专家无正当理由，拒不参加评标活动的；评标专家私下接触投标人行为的处罚,"《评标专家和评标专家库管理暂行办法》第十四条  评标专家负有下列义务：
（一）有《招标投标法》第三十七条、《招标投标法实施条例》第四十六条和《评标委员会和评标方法暂行规定》第十二条规定情形之一的，应当主动提出回避；
（二）遵守评标工作纪律，不得私下接触投标人，不得收受投标人或者其他利害关系人的财物或者其他好处，不得透露对投标文件的评审和比较、中标侯选人的推荐情况以及与评标有关的其他情况；
（三）客观公正地进行评标；
（四）协助、配合有关行政监督部门的监督、检查；
（五）国家规定的其他义务。
《评标专家和评标专家库管理暂行办法》第十五条  评标专家有下列情形之一的，由有关行政监督部门责令改正；情节严重的，禁止其在一定期限内参加依法必须进行招标的项目的评标；情节特别严重的，取消其担任评标委员会成员的资格：
（一）应当回避而不回避；
（二）擅离职守；
（三）不按照招标文件规定的评标标准和方法评标；
（四）私下接触投标人；
（五）向招标人征询确定中标人的意向或者接受任何单位或者个人明示或者暗示提出的倾向或者排斥特定投标人的要求；
（六）对依法应当否决的投标不提出否决意见；
（七）暗示或者诱导投标人作出澄清、说明或者接受投标人主动提出的澄清、说明；
（八）其他不客观、不公正履行职务的行为。
评标委员会成员收受投标人的财物或者其他好处的，评标委员会成员或者与评标活动有关的工作人员向他人透露对投标文件的评审和比较、中标候选人的推荐以及与评标有关的其他情况的，给予警告，没收收受的财物，可以并处三千元以上五万元以下的罚款；对有所列违法行为的评标委员会成员取消担任评标委员会成员的资格，不得再参加任何依法必须进行招标项目的评标；构成犯罪的，依法追究刑事责任。",11441900007330248L3440216377000,行政处罚,
399,东莞市水务局,对评标专家收受利害关系人的财物或者其他好处行为的处罚,"《评标专家和评标专家库管理暂行办法》第十四条  评标专家负有下列义务：
（一）有《招标投标法》第三十七条、《招标投标法实施条例》第四十六条和《评标委员会和评标方法暂行规定》第十二条规定情形之一的，应当主动提出回避；
（二）遵守评标工作纪律，不得私下接触投标人，不得收受投标人或者其他利害关系人的财物或者其他好处，不得透露对投标文件的评审和比较、中标侯选人的推荐情况以及与评标有关的其他情况；
（三）客观公正地进行评标；
（四）协助、配合有关行政监督部门的监督、检查；
（五）国家规定的其他义务。
《评标专家和评标专家库管理暂行办法》第十五条  评标专家有下列情形之一的，由有关行政监督部门责令改正；情节严重的，禁止其在一定期限内参加依法必须进行招标的项目的评标；情节特别严重的，取消其担任评标委员会成员的资格：
（一）应当回避而不回避；
（二）擅离职守；
（三）不按照招标文件规定的评标标准和方法评标；
（四）私下接触投标人；
（五）向招标人征询确定中标人的意向或者接受任何单位或者个人明示或者暗示提出的倾向或者排斥特定投标人的要求；
（六）对依法应当否决的投标不提出否决意见；
（七）暗示或者诱导投标人作出澄清、说明或者接受投标人主动提出的澄清、说明；
（八）其他不客观、不公正履行职务的行为。
评标委员会成员收受投标人的财物或者其他好处的，评标委员会成员或者与评标活动有关的工作人员向他人透露对投标文件的评审和比较、中标候选人的推荐以及与评标有关的其他情况的，给予警告，没收收受的财物，可以并处三千元以上五万元以下的罚款；对有所列违法行为的评标委员会成员取消担任评标委员会成员的资格，不得再参加任何依法必须进行招标项目的评标；构成犯罪的，依法追究刑事责任。",11441900007330248L3440216378000,行政处罚,
